index,file_names,data_lens
787,sample787,20760
788,sample788,397824
789,sample789,41472
790,sample790,22528
791,sample791,48128
792,sample792,56336
793,sample793,35840
794,sample794,1327200
795,sample795,66952
796,sample796,20480
797,sample797,49664
798,sample798,37888
799,sample799,44032
800,sample800,47832
801,sample801,152576
802,sample802,34816
803,sample803,189352
804,sample804,38912
805,sample805,172544
806,sample806,23040
807,sample807,1449312
808,sample808,456568
809,sample809,55296
810,sample810,242176
811,sample811,81920
812,sample812,56328
813,sample813,194752
814,sample814,50616
815,sample815,208576
816,sample816,141312
817,sample817,50176
818,sample818,52704
819,sample819,38912
820,sample820,37576
821,sample821,53720
822,sample822,52576
823,sample823,1676128
824,sample824,209408
825,sample825,540368
826,sample826,108496
827,sample827,39936
828,sample828,274280
829,sample829,849600
830,sample830,40824
831,sample831,47616
832,sample832,73400
833,sample833,32768
834,sample834,38912
835,sample835,35544
836,sample836,59752
837,sample837,42304
838,sample838,24008
839,sample839,702312
840,sample840,34816
841,sample841,21504
842,sample842,23040
843,sample843,49152
844,sample844,219704
845,sample845,283576
846,sample846,89744
847,sample847,167912
848,sample848,189952
849,sample849,50384
850,sample850,46936
851,sample851,447168
852,sample852,185784
853,sample853,59336
854,sample854,67072
855,sample855,353280
856,sample856,80896
857,sample857,55720
858,sample858,43400
859,sample859,333264
860,sample860,244224
861,sample861,513528
862,sample862,67848
863,sample863,164216
864,sample864,123552
865,sample865,154744
866,sample866,145408
867,sample867,69024
868,sample868,34564
869,sample869,619992
870,sample870,67072
871,sample871,42512
872,sample872,56720
873,sample873,350808
874,sample874,53704
875,sample875,543360
876,sample876,36864
877,sample877,23040
878,sample878,41984
879,sample879,103936
880,sample880,324048
881,sample881,101464
882,sample882,136672
883,sample883,249744
884,sample884,49664
885,sample885,358080
886,sample886,28672
887,sample887,40392
888,sample888,56160
889,sample889,39424
890,sample890,122552
891,sample891,80472
892,sample892,58336
893,sample893,178776
894,sample894,388080
895,sample895,494080
896,sample896,29184
897,sample897,329496
898,sample898,92792
899,sample899,30720
900,sample900,84312
901,sample901,32768
902,sample902,65792
903,sample903,148480
904,sample904,57200
905,sample905,143360
906,sample906,200192
907,sample907,83456
908,sample908,83784
909,sample909,112064
910,sample910,101888
911,sample911,37376
912,sample912,59832
913,sample913,41584
914,sample914,308224
915,sample915,41984
916,sample916,674376
917,sample917,30672
918,sample918,69064
919,sample919,38400
920,sample920,61016
921,sample921,53740
922,sample922,45056
923,sample923,54248
924,sample924,342720
925,sample925,26048
926,sample926,88152
927,sample927,40928
928,sample928,49080
929,sample929,298320
930,sample930,48504
931,sample931,29696
932,sample932,38400
933,sample933,41472
934,sample934,52528
935,sample935,54064
936,sample936,79544
937,sample937,245952
938,sample938,54224
939,sample939,50536
940,sample940,49152
941,sample941,59488
942,sample942,48840
943,sample943,2226160
944,sample944,19968
945,sample945,64448
946,sample946,33152
947,sample947,79360
948,sample948,308736
949,sample949,41472
950,sample950,535328
951,sample951,40960
952,sample952,69036
953,sample953,76656
954,sample954,19968
955,sample955,460800
956,sample956,31744
957,sample957,71680
958,sample958,27096
959,sample959,87936
960,sample960,118784
961,sample961,36880
962,sample962,41840
963,sample963,136704
964,sample964,90904
965,sample965,462784
966,sample966,71824
967,sample967,134144
968,sample968,464072
969,sample969,56320
970,sample970,91352
971,sample971,73216
972,sample972,765440
973,sample973,17776
974,sample974,398848
975,sample975,20992
976,sample976,56408
977,sample977,223432
978,sample978,91160
979,sample979,69064
980,sample980,1689552
981,sample981,507112
